#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
87,"René","Residente",60,89,"hip hop latino","","LAS LETRAS YA NO IMPORTAN",2024-02-22,07:38,41,39,41,0,48,10,20,-10,C Major,4,2025-02-03,1GmHEl2cWpMvkDCuEh0tQY,"5020 Records",8B,USSD12000022
88,"The American Dream Is Killing Me","Green Day",60,143,"punk, pop punk","Rock","Saviors",2024-01-19,03:06,53,95,0,0,61,0,20,-3,F#/G♭ Major,4,2025-02-03,0yq78eXBvWVgkqojBe46SX,"Reprise",2B,USRE12300349
89,"Never Gonna Be Alone (feat. Lizzy McAlpine & John Mayer)","Jacob Collier,Lizzy McAlpine,John Mayer",59,91,"cantautores","","Djesse Vol. 4",2024-03-01,04:10,58,42,59,57,28,0,30,-9,C Major,4,2025-02-03,275XKjLmQFuZnxTvvtJ6VZ,"Decca (UMO)",8B,GBUM72203164
90,"Sadness As A Gift","Adrianne Lenker",59,115,"","","Bright Future",2024-03-22,04:19,53,28,86,0,36,0,10,-11,A Major,4,2025-02-03,1UpXhetX1s5OXTY5fRjWvu,"4AD",11B,GBAFL2300313
91,"Big Mama","Latto",59,156,"","","Big Mama",2024-06-28,02:54,58,71,2,0,68,30,30,-5,C♯/D♭ Major,4,2025-02-03,5NVOE8wRgmgNGTJNys871J,"Streamcut/RCA Records",3B,USRC12401888
92,"In The Name of Jesus (feat. Chandler Moore)","JWLKRS Worship,Maverick City Music,Chandler Moore",59,184,"adoración, música cristiana, góspel","","In The Name of Jesus (feat. Chandler Moore)",2024-04-19,04:58,29,76,0,0,33,0,10,-7,B Major,4,2025-02-03,4O2mQtteYmGU173GcZjn6C,"Tribl Records, LLC",1B,QM6MZ2417188
93,"Neon Pill","Cage The Elephant",58,120,"rock moderno","","Neon Pill",2024-05-17,03:21,66,87,0,0,89,0,10,-6,G minor Minor,4,2025-02-03,0cgyeBU54kjmI54TflMANg,"RCA Records Label",6A,USRC12303405
94,"Enough (Miami)","Cardi B",57,139,"","","Enough (Miami)",2024-03-15,02:38,93,79,0,0,47,20,0,-5,F Major,5,2025-02-03,4XqBLxDaEdlqkHlSlb1Rzq,"Atlantic Records",7B,USAT22401679
95,"the boy is mine (with Brandy, Monica) - Remix","Ariana Grande,Brandy,Monica",57,98,"pop, r&b","Pop, R&B","the boy is mine (Remix)",2024-06-21,03:33,71,67,30,0,49,0,0,-6,G minor Minor,4,2025-02-03,52anJ914oylWdT3CytSMYF,"Republic Records",6A,USUM72405958
96,"That's How I'm Feeling","Jack White",57,128,"blues rock","Rock","No Name",2024-08-02,03:11,58,90,25,12,85,10,10,-5,D Major,4,2025-02-03,1PEjhR1CCdINF8TyM5s8LX,"Third Man Records/Legacy",10B,US3JJ2401118
97,"Beautiful People (Stay High)","The Black Keys",56,95,"blues rock, garage rock, blues modern, rock","Rock","Ohio Players",2024-04-05,02:47,59,85,19,0,61,0,20,-2,G Major,4,2025-02-03,2meH4dMuvGlooo2tpiPjJp,"Nonesuch",9B,USNO12300381
98,"Bigger Houses","Dan + Shay",56,140,"country","Country","Save Me The Trouble, Heartbreak On The Map, Bigger Houses",2023-07-14,03:17,63,51,55,0,56,0,10,-6,G Major,4,2025-02-03,021oE3KXSweagIO0HsgzcI,"Warner Music Nashville",9B,USWB12302914
99,"Dark Matter","Pearl Jam",55,100,"grunge, rock, post-grunge","Rock, Metal","Dark Matter",2024-04-19,03:31,47,96,0,0,44,10,0,-4,D Major,4,2025-02-03,0S4VR8n0KBkE6DxrjArswJ,"Pearl Jam/Monkeywrench",10B,USUG12309749
100,"Lucky (feat. Remi Wolf)","Zedd,Remi Wolf",54,96,"edm, ","Electronic","Telos",2024-08-30,02:07,82,47,27,0,72,0,0,-4,D Major,4,2025-02-03,6DtU5J0xK0Law03cXT6ar5,"Interscope Records",10B,USUM72406436
101,"guidance","Jhené Aiko",54,99,"r&b","R&B","guidance",2024-07-30,03:35,49,48,72,0,20,0,10,-8,A#/B♭ Major,4,2025-02-03,3rwIujhqyCP3v4mXI7eWN3,"Def Jam Recordings",6B,USUM72407639
102,"Cellar Door","Spiritbox",53,84,"metalcore, djent, metal","Metal","Cellar Door",2023-10-13,04:43,17,94,0,43,16,10,40,-4,C♯/D♭ Major,4,2025-02-03,2GWtLHhqPjvZt1aWiBDsTU,"Rise Records",3B,QMRSZ2301311
103,"Angry","The Rolling Stones",52,113,"rock clásico, rock","Rock","Hackney Diamonds",2023-10-20,03:46,60,89,0,0,70,0,0,-3,E Major,4,2025-02-03,5op6kdhlMQ4L0KH30GCZ5T,"Polydor Records",12B,GBUM72302314
104,"Te Lo Agradezco","Kany García,Carin Leon",52,180,"pop latino, banda, norteño, sierreño, corrido, grupera, ranchera, sierreño triste, música mexicana","Latin","GARCÍA",2024-05-02,03:03,55,58,30,0,59,10,10,-4,G Major,3,2025-02-03,0zl5ZtLcMzQv7YPDphUDoG,"5020 Records",9B,US5022300029
105,"Screaming Suicide","Metallica",52,101,"metal, thrash metal, rock, heavy metal, hard rock","Rock, Metal","72 Seasons",2023-04-14,05:30,43,97,0,2,28,0,20,-3,E minor Minor,4,2025-02-03,2zSb2Db4kNYH5qIs5V3BgG,"Blackened Recordings",9A,QMKHM2200018
106,"Crown of Horns","Judas Priest",51,120,"heavy metal, metal, hard rock, glam metal, speed metal","Metal, Rock","Crown of Horns",2024-01-19,05:45,54,91,0,0,50,0,60,-6,A#/B♭ minor Minor,4,2025-02-03,75roxXAbp0Bi2clZghkjAy,"Columbia",3A,GBARL2301259
107,"Flea","St. Vincent",51,138,"art pop","Pop","All Born Screaming",2024-04-26,03:46,48,76,4,14,39,0,30,-5,A Major,4,2025-02-03,6TryolYM0MBzNTxGrlfcqt,"St. Vincent",11B,USA2P2401577
108,"Song Of The Lake","Nick Cave & The Bad Seeds",49,149,"","","Wild God",2024-08-30,03:36,17,73,3,35,47,0,0,-5,D#/E♭ Major,3,2025-02-03,7kN3xKqRtMQEnhxCK5d5Ih,"Play It Again Sam",5B,GBSG42400001
109,"Break Mine","Brothers Osborne",48,109,"country, country rock","Country, Rock","Break Mine EP",2024-03-22,04:09,67,68,1,4,36,0,0,-6,D Major,4,2025-02-03,1q5ClSxLhJKpOhphiKnpJm,"EMI Music Nashville (ERN)",10B,USUM72308079
110,"One Hallelujah","Tasha Cobbs Leonard,Erica Campbell,Israel Houghton,Jonathan McReynolds,Jekalyn Carr",48,137,"góspel, adoración, góspel r&b, música cristiana","","One Hallelujah",2024-05-17,05:45,36,92,1,0,23,0,10,-4,C Major,4,2025-02-03,1nJYjT357z2vQAMAbuoTno,"Tribl Records, LLC",8B,QM6N22408057
111,"Cowboys Cry Too (with Noah Kahan)","Kelsea Ballerini,Noah Kahan",46,87,"country, pop country, ","Country","Sorry Mom",2024-08-09,03:51,43,58,61,0,49,0,10,-6,B Major,4,2025-02-03,0ITWLlbQ01CXHmh5j7XD5k,"Black River Entertainment",1B,QM6P42412668
112,"Don't Do Me Good","Madi Diaz,Kacey Musgraves",45,116,"","","Weird Faith",2024-02-09,04:13,67,36,48,0,20,0,0,-8,C♯/D♭ Major,3,2025-02-03,4WtLOsAci79NIpW5ukeM47,"Anti/Epitaph",3B,USEP42310008
113,"Loved","Four Tet",45,165,"idm, electrónica","Electronic","Three",2024-03-15,04:03,78,65,25,79,57,0,0,-9,B minor Minor,4,2025-02-03,2rIDrqcliMqD8AydNA4Tmc,"Text Records",10A,GBXNG2425001
114,"What Now","Brittany Howard",44,100,"","","What Now",2024-02-09,03:46,74,93,12,0,65,0,0,-5,B minor Minor,3,2025-02-03,1WAjkljaKkFILaxlsGlSfh,"Brittany Howard PS/ Island",10A,USUG12306385
115,"Wanting and Waiting","The Black Crowes",44,118,"rock sureño, rock","Rock","Happiness Bastards",2024-03-15,04:15,49,92,0,0,45,0,10,-3,G Major,4,2025-02-03,4OiL5M05HmrnBk1AOdHNe0,"Silver Arrow Records",9B,USME32300503
116,"Ninety Three 'Til Infinity And Beyoncé","André 3000",43,108,"","","New Blue Sun",2023-11-17,03:49,28,13,96,11,13,0,0,-23,E minor Minor,4,2025-02-03,0LVCuBsPmGaYvGV3IOMXFy,"Epic",9A,USSM12305452
117,"Empty Trainload Of Sky","Gillian Welch,David Rawlings",42,110,"folk americano, bluegrass, country alternativo, folk","Country, Folk/Acoustic","Woodland",2024-08-23,03:24,65,41,66,0,60,0,10,-12,D minor Minor,4,2025-02-03,2u8O02RCui0KMai7dmPAnf,"Acony Records",7A,US2AR2441601
118,"BYE BYE","Kim Gordon",41,146,"noise rock","Rock","The Collective",2024-03-08,04:14,59,42,0,56,4,0,10,-9,G minor Minor,4,2025-02-03,3b34EvMAFHcdRBujeo9e6t,"Matador",6A,USMTD2300380
119,"PRAISE YOU ANYWHERE (LIVE)","Brandon Lake",41,108,"adoración, música cristiana","","TEAR OFF THE ROOF (LIVE FROM THE HOLY CITY)",2024-06-21,04:11,47,88,0,0,36,0,60,-7,D Major,4,2025-02-03,5yJRoMJSIz7mdAXFjMt7rx,"Provident Label Group",10B,USA5W2400239
120,"Gift Horse","IDLES",40,143,"post-punk, noise rock, punk","Rock","TANGK",2024-02-16,04:09,67,84,0,23,37,0,10,-6,F minor Minor,4,2025-02-03,67CrKLE8d3Qhm4gcltiKs1,"Partisan Records",4A,USBQU2300129
121,"Hold On - Live","Ricky Dillard",38,208,"góspel, adoración","","Choirmaster II (Live)",2024-01-26,06:10,43,91,3,0,36,30,60,-8,B minor Minor,4,2025-02-03,4QTXebgW5IJJS8WpBLn6Zc,"Motown Gospel (EGS)",10A,USUM72317627
122,"Tomorrow","Yemi Alade",38,117,"afrobeats, afrobeat, azonto, afropop, bongo flava","Traditional music, R&B, Pop","Tomorrow",2024-05-17,03:23,77,77,15,0,77,0,10,-6,A#/B♭ Major,4,2025-02-03,5yuP7KsSKbm3S94BGdK4Jy,"Effyzzie Music",6B,FR9HE2404340
123,"When The Sun Shines Again [Feat. Posdnuos]","Common,Pete Rock,Posdnuos",37,182,"hip hop, jazz rap, neo soul, hip hop de la costa este, boom bap","Hip Hop, R&B","The Auditorium Vol. 1",2024-07-12,04:45,45,73,12,0,65,40,20,-2,C♯/D♭ Major,4,2025-02-03,7dPzrE3hNzxtUIDqKmZY3B,"Loma Vista Recordings",3B,USC4R2444154
124,"Firm Foundation (He Won't)","Honor & Glory,Disciple",36,156,"rock cristiano, rock alternativo cristiano, rock chino, música cristiana","Latin","Firm Foundation (He Won't)",2024-08-23,04:46,33,70,1,0,26,0,30,-4,G Major,3,2025-02-03,1XeVdgCil539quM3POT69i,"BEC Recordings",9B,QMGVJ2400141
125,"Diamante","Chiquis",35,117,"música mexicana, banda","Latin","Diamantes",2024-05-30,02:41,79,75,65,0,94,10,0,-4,C♯/D♭ Major,1,2025-02-03,5eRN0FLIkrRDbpOBZtH6bi,"Fonovisa",3B,USUM72402973
