Rank;|;Title;|;Genre;|;Album;|;Singers;|;Year;|;Runtime (Minutes);|;Rating;|;Votes;|;Metascore
42;|;Make You Mine;|;Unknown;|;Make You Mine;|;Madison Beer;|;2024;|;03:41;|;123;|;9379046;|;80
43;|;360;|;hyperpop, art pop;|;BRAT;|;Charli xcx;|;2024;|;02:13;|;120;|;21833;|;83
44;|;Igual Que Un Ángel (with Peso Pluma);|;corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño triste, electrocorridos, banda;|;ORQUÍDEAS;|;Kali Uchis,Peso Pluma;|;2024;|;04:20;|;108;|;9689824;|;79
45;|;CLASSY 101;|;reggaetón, urbano latino, trap latino;|;FERXXOCALIPSIS;|;Feid,Young Miko;|;2023;|;03:15;|;100;|;6553388;|;79
46;|;4×4×U;|;country;|;Whirlwind;|;Lainey Wilson;|;2024;|;03:59;|;142;|;1606874;|;79
47;|;Praise (feat. Brandon Lake, Chris Brown & Chandler Moore);|;adoración, música cristiana, música cristiana contemporánea, góspel;|;CAN YOU IMAGINE?;|;Elevation Worship,Brandon Lake,Chris Brown,Chandler Moore;|;2023;|;05:04;|;127;|;7109717;|;79
48;|;I Am Not Okay;|;hip hop country, country;|;Beautifully Broken;|;Jelly Roll;|;2024;|;03:18;|;77;|;8243002;|;78
49;|;Houdini;|;rap, hip hop;|;The Death of Slim Shady (Coup De Grâce);|;Eminem;|;2024;|;03:47;|;127;|;4627862;|;78
50;|;Guess featuring billie eilish;|;hyperpop, art pop, ;|;Guess featuring billie eilish;|;Charli xcx,Billie Eilish;|;2024;|;02:23;|;130;|;347203;|;82
51;|;offline;|;trap latino, reggaetón, urbano latino;|;att.;|;Young Miko,Feid;|;2024;|;03:21;|;93;|;7790316;|;77
52;|;We Still Don't Trust You;|;rap, ;|;WE STILL DON'T TRUST YOU;|;Future,Metro Boomin,The Weeknd;|;2024;|;04:12;|;110;|;4860077;|;76
53;|;yes, and?;|;pop;|;yes, and?;|;Ariana Grande;|;2024;|;03:34;|;119;|;6514910;|;75
54;|;Sexy to Someone;|;bedroom pop;|;Charm;|;Clairo;|;2024;|;03:27;|;98;|;1219164;|;75
55;|;Doblexxó;|;reggaetón, latina, urbano latino;|;Rayo;|;J Balvin,Feid;|;2024;|;02:56;|;99;|;651635;|;75
56;|;Got Me Started;|;Unknown;|;Something To Give Each Other;|;Troye Sivan;|;2023;|;03:18;|;127;|;1332175;|;73
57;|;MMS;|;afrobeats, afrobeat, afropiano, afro adura, afropop, amapiano, afroswing, azonto, dancehall;|;Lungu Boy;|;Asake,Wizkid;|;2024;|;03:39;|;102;|;8304878;|;73
58;|;Starburster;|;post-punk;|;Romance;|;Fontaines D.C.;|;2024;|;03:41;|;98;|;3488700;|;73
59;|;Neverender;|;house francés, new rave, rock electrónico, indie, pop psicodélico;|;Hyperdrama;|;Justice,Tame Impala;|;2024;|;04:26;|;117;|;9899173;|;73
60;|;GOOD DAY;|;hip hop cristiano, pop cristiano, adoración pop, música cristiana, adoración, góspel r&b;|;CHILD OF GOD;|;Forrest Frank;|;2024;|;02:50;|;76;|;9895248;|;72
61;|;After Hours;|;Unknown;|;After Hours;|;Kehlani;|;2024;|;03:22;|;121;|;3091400;|;72
62;|;Huntin’ Wabbitz;|;rap;|;Might Delete Later;|;J. Cole;|;2024;|;02:42;|;114;|;2199418;|;72
63;|;L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT];|;Unknown;|;L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT];|;Billie Eilish;|;2024;|;04:31;|;145;|;8435738;|;71
64;|;Witchy (feat. Childish Gambino);|;Unknown;|;TIMELESS;|;KAYTRANADA,Childish Gambino;|;2024;|;03:47;|;110;|;303074;|;71
65;|;BODYGUARD;|;Unknown;|;COWBOY CARTER;|;Beyoncé;|;2024;|;04:00;|;119;|;4893978;|;70
66;|;KEHLANI (REMIX) [feat. Kehlani];|;drill sexy, ;|;KEHLANI (REMIX) [feat. Kehlani];|;Jordan Adetunji,Kehlani;|;2024;|;02:59;|;160;|;1219004;|;70
67;|;Made For Me;|;Unknown;|;Revenge;|;Muni Long;|;2024;|;03:06;|;120;|;948696;|;70
68;|;Yeah Glo!;|;Unknown;|;Yeah Glo!;|;GloRilla;|;2024;|;02:22;|;148;|;6749703;|;70
69;|;Here We Go (Uh Oh);|;Unknown;|;Here We Go (Uh Oh);|;Coco Jones;|;2024;|;03:36;|;177;|;1347318;|;69
70;|;Burning;|;afrobeats, alté, afrobeat;|;Born in the Wild;|;Tems;|;2024;|;02:55;|;92;|;9690545;|;69
71;|;LEVII'S JEANS;|;Unknown;|;COWBOY CARTER;|;Beyoncé,Post Malone;|;2024;|;04:17;|;116;|;1039423;|;70
72;|;May Ninth;|;Unknown;|;A LA SALA;|;Khruangbin;|;2024;|;03:12;|;81;|;7194140;|;68
73;|;Te Felicito;|;pop latino, latina, reggaetón, urbano latino, trap latino;|;Las Mujeres Ya No Lloran;|;Shakira,Rauw Alejandro;|;2024;|;02:52;|;174;|;8357184;|;68
